era,baseline_version,version,channel,total_files,root_files,jobSH_files,log_files,other_files,hist_dir
2017,v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly,v0BDT1tau1lV17,1tau1l,392,68,78,136,110,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2017/v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly/mc/variableHists_v0BDT1tau1lV17
2016postVFP,v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly,v0BDT1tau0lV16,1tau0l,391,68,71,136,116,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2016postVFP/v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly/mc/variableHists_v0BDT1tau0lV16
2016preVFP,v0baselineHardro_v88PSWeightFixedHadroPre,v0dataMC_allCorrection,unknown,391,81,87,162,61,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2016preVFP/v0baselineHardro_v88PSWeightFixedHadroPre/mc/variableHists_v0dataMC_allCorrection
2016preVFP,v0baselineHardro_v88PSWeightFixedHadroPre,v1dataMC_allbutHLT,unknown,391,81,87,162,61,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2016preVFP/v0baselineHardro_v88PSWeightFixedHadroPre/mc/variableHists_v1dataMC_allbutHLT
2016preVFP,v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly,v0BDT1tau1lV16,1tau1l,391,68,74,136,113,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2016preVFP/v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly/mc/variableHists_v0BDT1tau1lV16
2017,v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly,v0BDT1tau1lAddMCFakeTV3,1tau1l,390,66,76,132,116,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2017/v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly/mc/variableHists_v0BDT1tau1lAddMCFakeTV3
2016preVFP,v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly,v0BDT1tau0l,1tau0l,389,68,74,136,111,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2016preVFP/v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly/mc/variableHists_v0BDT1tau0l
2018,v0baselineHadro_v94HadroPreJetVetoHemOnly_backupV2,v1dataMC_fakeTauDataDriven,unknown,387,94,98,188,7,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v0baselineHadro_v94HadroPreJetVetoHemOnly_backupV2/mc/variableHists_v1dataMC_fakeTauDataDriven
2018,v0baselineHadro_v94HadroPreJetVetoHemOnly_backupV2,v0BDT1tau0lFakeTau,1tau0l,387,94,98,188,7,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v0baselineHadro_v94HadroPreJetVetoHemOnly_backupV2/mc/variableHists_v0BDT1tau0lFakeTau
2016postVFP,v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly,v0BDT1tau1lV16,1tau1l,387,68,71,136,112,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2016postVFP/v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly/mc/variableHists_v0BDT1tau1lV16
2018,v0baselineHadro_v94HadroPreJetVetoHemOnly_backupV2,v0FRMeasureBinB,unknown,386,92,96,184,14,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v0baselineHadro_v94HadroPreJetVetoHemOnly_backupV2/mc/variableHists_v0FRMeasureBinB
2016postVFP,v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly,v0BDT1tau0l,1tau0l,386,68,71,136,111,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2016postVFP/v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly/mc/variableHists_v0BDT1tau0l
2016postVFP,v0baselineHardro_v88PSWeightFixedHadroPre,v0dataMC_allCorrection,unknown,384,80,83,160,61,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2016postVFP/v0baselineHardro_v88PSWeightFixedHadroPre/mc/variableHists_v0dataMC_allCorrection
2016postVFP,v0baselineHardro_v88PSWeightFixedHadroPre,v1dataMC_allbutHLT,unknown,384,80,83,160,61,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2016postVFP/v0baselineHardro_v88PSWeightFixedHadroPre/mc/variableHists_v1dataMC_allbutHLT
2018,v0baselineHadro_v94HadroPreJetVetoHemOnly_backupV2,v0DataMC_sys,unknown,381,85,89,170,37,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v0baselineHadro_v94HadroPreJetVetoHemOnly_backupV2/mc/variableHists_v0DataMC_sys
2018,v0baselineHadro_newFRBinA_v94HadroPreJetVetoHemOnly,v1dataMC_fakeTauDataDriven_ptMorphed,unknown,379,82,86,164,47,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v0baselineHadro_newFRBinA_v94HadroPreJetVetoHemOnly/mc/variableHists_v1dataMC_fakeTauDataDriven_ptMorphed
2018,v0baselineHadro_newFRBinC_v94HadroPreJetVetoHemOnly,v0DataMC,unknown,377,81,85,162,49,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v0baselineHadro_newFRBinC_v94HadroPreJetVetoHemOnly/mc/variableHists_v0DataMC
2016preVFP,v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly,v0BDT1tau1lAddMCFakeTV3,1tau1l,375,66,72,132,105,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2016preVFP/v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly/mc/variableHists_v0BDT1tau1lAddMCFakeTV3
